AC Milan,Milan Associazione Calcio s.p.a.,Rossoneri,Giuseppe Meazza,Italy
ACF Fiorentina,Associazione Calcio Firenze Fiorentina,None,Artemio Franchi,Italy
SSC Bari,Societa Sportiva Calcio Bari Societa Sportiva Dilettantistica,I Galletti,San Nicola,Italy
AS Roma,Associazione Sportiva Roma,Giallorossi,Olimpico,Italy
Atalanta,Atalanta Bergamasca Calcio 1907,None,Gewiss Stadium,Italy
Bologna FC,Bologna Football Club 1909 S.p.A.,None,Renato Dall'Ara,Italy
Brescia Calcio,Brescia Calcio 1911,None,Mario Rigamonti,Italy
Empoli FC,Empoli Football Club 1920,None,Carlo Castellani,Italy
Inter,Football Club Internazionale Milano,Nerazzurri,Giuseppe Meazza,Italy
Juventus,Juventus Torino Football Club,Bianconeri,Allianz Stadium,Italy
Lazio Roma,Societa Sportiva Lazio S.p.A.,Biancocelesti,Olimpico,Italy
Parma Calcio 1913,Parma Calcio 1913,None,Ennio Tardini,Italy
Piacenza Calcio,Piacenza Calcio SpA,None,Stadio Leonardo Garilli,Italy
Sampdoria,Unione Calcio Sampdoria SpA,None,Luigi Ferraris,Italy
SSC Napoli,Societa Sportiva Calcio Napoli s.p.a,None,Diego Maradona,Italy
Udinese Calcio,Udinese Calcio S.p.A.,None,Dacia Arena,Italy
US Lecce,Unione Sportiva Lecce,None,Via del Mare,Italy
Vicenza Virtus,Lanerossi Vicenza Virtus,None,Romeo Menti,Italy